DISTRICT,Code,Province,Number of Agricultural Households,Households reportedMachinery/Pens/Storage%
COLOMBO,11,WP,"32,484",33
GAMPAHA,12,WP,"101,181",25
KALUTARA,13,WP,90770,16
KANDY,21,CP,126683,2
MATALE,22,CP,73093,47
NUWARA ELIYA,23,CP,81522,29
GALLE,31,SP,123122,16
MATARA,32,SP,105308,12
HAMBANTOTA,33,SP,99693,35
JAFFNA,41,NP,40853,73
MANNAR,42,NP,7663,75
VAVUNIYA,43,NP,24035,52
MULLAITIVU,44,NP,20851,32
KILINOCHCHI,45,NP,19792,69
BATTICALOA,51,EP,32022,58
AMPARA,52,EP,60216,37
TRINCOMALEE,53,EP,29757,36
KURUNEGALA,61,NWP,269416,42
PUTTALAM,62,NWP,83989,44
ANURADHAPURA,71,NCP,170323,55
POLONNARUWA,72,NCP,73275,55
BADULLA,81,UVA,118932,47
MONERAGALA,82,UVA,95718,17
RATNAPURA,91,SAB,156055,20
KEGALLE,92,SAB,99798,10
